iter	Passed	Remaining
0	63	63185
1	63	31897
2	64	21470
3	65	16229
4	66	13168
5	66	11055
6	67	9550
7	67	8425
8	68	7535
9	68	6821
10	69	6237
11	69	5751
12	70	5338
13	70	4984
14	71	4677
15	71	4408
16	72	4218
17	73	4023
18	74	3837
19	74	3671
20	75	3522
21	76	3388
22	76	3260
23	77	3144
24	77	3039
25	78	2946
26	79	2869
27	80	2792
28	81	2714
29	81	2649
30	82	2579
31	83	2513
32	83	2451
33	84	2392
34	84	2336
35	85	2284
36	86	2240
37	86	2192
38	87	2147
39	87	2103
40	88	2069
41	89	2036
42	89	2002
43	90	1968
44	91	1935
45	91	1903
46	92	1872
47	92	1843
48	93	1820
49	94	1798
50	95	1772
51	95	1746
52	96	1722
53	97	1700
54	97	1678
55	98	1656
56	98	1635
57	99	1614
58	100	1595
59	100	1575
60	101	1556
61	101	1539
62	102	1522
63	102	1505
64	103	1489
65	104	1474
66	104	1458
67	105	1443
68	105	1428
69	106	1414
70	107	1400
71	108	1394
72	109	1384
73	109	1373
74	110	1361
75	110	1348
76	111	1337
77	112	1326
78	112	1315
79	113	1304
80	114	1293
81	114	1283
82	114	1269
83	115	1257
84	115	1246
85	116	1236
86	116	1226
87	117	1216
88	117	1207
89	118	1197
90	118	1187
91	119	1177
92	119	1168
93	120	1159
94	120	1150
95	121	1142
96	121	1134
97	122	1128
98	123	1127
99	124	1119
100	124	1111
101	125	1104
102	125	1096
103	126	1088
104	126	1080
105	127	1073
106	127	1067
107	128	1060
108	129	1054
109	129	1048
110	130	1042
111	130	1036
112	131	1030
113	131	1024
114	132	1019
115	132	1012
116	133	1006
117	133	1000
118	134	995
119	134	989
120	135	984
121	135	978
122	136	973
123	137	968
124	137	963
125	138	962
126	139	957
127	139	953
128	140	949
129	141	945
130	141	940
131	142	936
132	143	932
133	143	929
134	144	927
135	145	923
136	145	919
137	146	915
138	147	911
139	147	907
140	148	903
141	148	897
142	149	893
143	149	889
144	150	886
145	151	884
146	152	885
